Sun,orange,1.98892e30,0,0,0,0
Mercury,white,0.3301e24,-0.387,0,0,-47.36
Venus,red,4.8685e24,-0.723,0,0,-35.02
Earth,blue,5.9742e24,-1,0,0,-29.783
Mars,brown,0.6417e24,-1.524,0,0,-24.07
#Jupiter,green,1898.3e24,-5.204,0,0,-13.06
#Saturn,yellow,568.36e24,-9.582,0,0,-9.68
#Uranus,cyan,86.816e24,-19.201,0,0,-6.8
#Neptune,violet,102.42e24,-30.047,0,0,-5.43
